# Lercier-Sirvent, p=5 d=43 l increasing  (chipmunk 7/2/2010)
#	Factor	EqDiff	RR	Rest	Total	Search
#
3	0.1	0.02	0	0	0.129	0.07
7	0.24	0.269	0.01	0.01	0.64	0.4
11	0.351	1.109	0.029	0.01	1.85	0.719
13	0.51	1.35	0.04	0.011	2.371	0.72
17	0.889	5.781	0.079	0.031	7.739	0.591
19	0.99	7.13	0.1	0.039	9.7	0.66
23	1.351	9.431	0.17	0.049	13.391	0.969
31	1.99	12.15	0.349	0.08	18.519	1.49
43	4.319	40.091	0.771	0.139	56.579	2.88
59	5.819	59.39	1.75	0.241	87.069	4.69
67	9.591	87.16	2.41	0.29	119.631	5.379
73	11.449	101.88	2.961	0.339	142.849	6.671
103	18.61	171.649	7.349	0.632	260.45	11.699
113	24.29	176.57	9.189	0.72	275.199	56.47
127	26.91	224.799	12.631	0.891	364.561	14.639
131	24.37	301.421	13.509	1.01	400.719	30.459
139	34.531	381.69	15.571	1.138	520.971	37.011
149	39.2	427.079	18.529	1.31	591.239	21.77
163	55.92	451.641	23.48	1.51	648.15	24.011
179	46.961	563.65	29.88	1.789	804.021	90.439
211	81.291	655.001	45.59	2.368	987.85	116.91
223	87.281	773.83	52.949	2.641	1186.33	84.12
241	93.091	754.131	65.659	3.02	1178.35	99.369
257	96.351	817.73	77.34	3.209	1152.25	43.221
263	93.321	1106.36	81.29	3.411	1562.29	95.38
283	138.16	1396.67	97.409	3.979	2035.33	60.711
307	177.82	1552.83	119.309	4.612	2323.83	73.38
331	205.641	1630.51	145.069	5.25	2502.7	79.43
347	201.41	1892.21	166.05	5.789	2908.92	91.551
367	229.38	2104.32	190.959	6.472	3293.20	100.759
379	271.2	2213.51	212.759	6.852	3522.69	107.25
383	202.649	2220.69	215.281	6.919	3474.43	188.55
397	277.23	1989.98	233.719	7.22	3199.97	202.081


# Lercier-Sirvent, p=5 d=439 l increasing  (chipmunk 8/2/2010)
#	Factor	EqDiff	RR	Rest	Total	Search
#
3	116.811	0.229	0.079	0.07	117.341	50.49
7	213.55	3.231	0.859	0.29	219.469	160.92
11	370.02	14.5	2.689	0.812	392.671	270.46
13	438.78	17.629	4.079	1.111	467.851	753.07
17	668.631	96.39	7.951	2.048	791.681	1287.881
19	728.029	124.08	10.431	2.5	890.81	2057.351
23	1041.13	173.16	17.231	3.569	1277.77	3930.89
31	1569.85	233.63	36.861	6.057	1909.41	3028.931
43	3241.09	721.521	82.681	11.068	4265.1	3097.41
59	5162.23	1086.6	187.26	19.781	6837.23	5063.969
67	6198.51	1679.7	257.08	24.079	8539.87	5735.901
73	7507.46	2014.16	316.73	28.849	10370.4	7151.291
103	13124.4	3562.88	770.521	55.16	18740.9	25045.269
113	15643.6	3676	977.901	65.279	21636.3	45103.38
127	16252.4	4772.60	1346.03	81.592	24442.7	62032.861
131	16827.3	5830.71	1431.33	82.092	25383.9	48657.979
139	20763.7	7613.99	1652.68	94.06	31989.4	59759.691
149	24404.8	8637.73	1957.69	108.31	37364.6	23539.17
163	27827.7	9201.39	2484.64	128.001	42136.4	51305.09
179	33624.2	11747.3	3179.15	155.929	52284.7	97300.98
211	44178.2	13553.1	4829.66	209.61	67243.7	41528.559
223	47527.2	16161.4	5604.30	236.91	75528.1	89457.68
241	56131.2	16050.7	7048.97	279.83	85448.4	53675.66
283	68939.3	31185.6	10296.6	360.721	119344	64884.92


# Lercier-Sirvent, p=increasing d=10 l=59  (chipmunk 7/2/2010)
#	Factor	EqDiff	RR	Rest	Total	Search
#
5	0.17	10.059	0.029	0.02	13.689	0.01
7	0.21	8.9	0.031	0.01	12.63	0.11
11	0.17	9.09	0.041	0.02	12.86	0.031
19	0.229	8.72	0.09	0.011	12.439	0.26
31	0.27	8.501	0.08	0.02	12.271	0.42
43	0.261	8.96	0.09	0.03	12.841	0.229
67	0.271	8.279	0.09	0.02	11.961	0.13
73	0.27	9.1	0.09	0.03	13.08	0.259
103	0.309	8.99	0.09	0.029	12.979	0.31
131	0.28	8.37	0.101	0.03	12.17	1.001
163	0.32	8.761	0.1	0.02	12.701	0.359
223	0.34	8.44	0.1	0.03	12.27	0.19
283	0.34	8.69	0.11	0.02	12.58	1.02
367	0.369	8.6	0.1	0.029	12.479	0.21


# Lercier-Sirvent, p=increasing d=30 l=97  (chipmunk 7/2/2010)
#	Factor	EqDiff	RR	Rest	Total	Search
#
5	7.05	94.9	0.35	0.152	130.241	0.36
7	7.63	96.279	0.359	0.142	132.701	0.91
11	7.439	89.679	0.491	0.151	124.66	1.511
31	9.261	93.341	1.02	0.179	130.27	2.321
43	19.56	87.709	4.78	0.431	138.8	12.309
67	20.59	85.23	4.62	0.41	136.41	13.361
73	21.02	88.559	4.72	0.431	141.661	13.86
131	22.65	86.76	4.66	0.408	140.41	31.15
283	25.621	95.471	4.769	0.448	155.36	55.531
367	27.39	93.849	4.991	0.44	155.51	20.309


# Lercier-Sirvent, p=increasing d=60 l=73  (chipmunk 7/2/2010)
#	Factor	EqDiff	RR	Rest	Total	Search
#
5	13.28	188.36	0.48	0.311	251.961	1.369
7	40.809	185.1	7.37	0.89	284.739	27.3
11	48.699	178.84	7.851	0.881	283.551	143.52
19	57.789	170.21	8.12	0.891	282.781	45.89
43	77.21	175.099	8.911	0.959	308.49	254.561
67	82.51	169.091	8.62	0.95	306.43	69.679
103	95.911	192.031	9.37	1.038	349.279	165.811
131	94.39	181.349	8.689	0.981	334.189	406.411
163	102.84	190.6	9.159	1.041	355.529	89.74
223	112.87	184.839	9.61	1.07	358.71	296.881
283	109.981	188.179	8.939	1.019	359.339	388.55
367	120.049	185.179	9.4	1.051	365.9	425.171


# Lercier-Sirvent, p=increasing d=100 l=127  (chipmunk 7/2/2010)
#	Factor	EqDiff	RR	Rest	Total	Search
#
5	273.671	887.07	72.399	5.05	1641.69	188.12
7	367.839	1104.46	86.62	6.07	2041.61	1362.571
11	462.04	915.07	92.5	6.419	1878.42	1445.17
19	563.06	891.779	98.141	6.63	1962.67	940.021
43	743.751	905.831	106.98	7.06	2155.53	656.479
67	803.22	898.989	102.71	6.831	2201.70	708.999
163	1011.65	1100.16	109.681	7.4	2702.4	921.85
283	1088.62	1086.3	107.201	7.289	2794.06	999.619


# rhea, between 10/2009 and 11/2009
# (magma 2.16 and avoid factoring twice the modpol)
#
# magma 2.16.11, p=3 d=64 l increasing  (rhea 15/10/2010)
#       Lift    Diff    Change  Tot
#
2	0.370	0.010	0.000	0.380
5	0.380	0.140	0.000	0.520
7	0.380	0.220	0.000	0.600
11	0.420	1.920	0.000	2.340
13	0.430	2.250	0.000	2.680
