# Lercier-Sirvent, p=5 d=43 l increasing  (chipmunk 7/2/2010)
#	Factor	EqDiff	RR	Rest	Total	Search
#
3	0.1	0.02	0	0	0.129	0.07
7	0.24	0.269	0.01	0.01	0.64	0.4
11	0.351	1.109	0.029	0.01	1.85	0.719
13	0.51	1.35	0.04	0.011	2.371	0.72
17	0.889	5.781	0.079	0.031	7.739	0.591
19	0.99	7.13	0.1	0.039	9.7	0.66
23	1.351	9.431	0.17	0.049	13.391	0.969
31	1.99	12.15	0.349	0.08	18.519	1.49
43	4.319	40.091	0.771	0.139	56.579	2.88
59	5.819	59.39	1.75	0.241	87.069	4.69
67	9.591	87.16	2.41	0.29	119.631	5.379
73	11.449	101.88	2.961	0.339	142.849	6.671
103	18.61	171.649	7.349	0.632	260.45	11.699
113	24.29	176.57	9.189	0.72	275.199	56.47
127	26.91	224.799	12.631	0.891	364.561	14.639
131	24.37	301.421	13.509	1.01	400.719	30.459
139	34.531	381.69	15.571	1.138	520.971	37.011
149	39.2	427.079	18.529	1.31	591.239	21.77
163	55.92	451.641	23.48	1.51	648.15	24.011
179	46.961	563.65	29.88	1.789	804.021	90.439
211	81.291	655.001	45.59	2.368	987.85	116.91
223	87.281	773.83	52.949	2.641	1186.33	84.12
241	93.091	754.131	65.659	3.02	1178.35	99.369
257	96.351	817.73	77.34	3.209	1152.25	43.221
263	93.321	1106.36	81.29	3.411	1562.29	95.38
283	138.16	1396.67	97.409	3.979	2035.33	60.711
307	177.82	1552.83	119.309	4.612	2323.83	73.38
331	205.641	1630.51	145.069	5.25	2502.7	79.43
347	201.41	1892.21	166.05	5.789	2908.92	91.551
367	229.38	2104.32	190.959	6.472	3293.20	100.759
379	271.2	2213.51	212.759	6.852	3522.69	107.25
383	202.649	2220.69	215.281	6.919	3474.43	188.55
397	277.23	1989.98	233.719	7.22	3199.97	202.081


# Lercier-Sirvent, p=5 d=439 l increasing  (chipmunk 8/2/2010)
#	Factor	EqDiff	RR	Rest	Total	Search
#
3	116.811	0.229	0.079	0.07	117.341	50.49
7	213.55	3.231	0.859	0.29	219.469	160.92
11	370.02	14.5	2.689	0.812	392.671	270.46
13	438.78	17.629	4.079	1.111	467.851	753.07
17	668.631	96.39	7.951	2.048	791.681	1287.881
19	728.029	124.08	10.431	2.5	890.81	2057.351
23	1041.13	173.16	17.231	3.569	1277.77	3930.89
31	1569.85	233.63	36.861	6.057	1909.41	3028.931
43	3241.09	721.521	82.681	11.068	4265.1	3097.41
59	5162.23	1086.6	187.26	19.781	6837.23	5063.969
67	6198.51	1679.7	257.08	24.079	8539.87	5735.901
73	7507.46	2014.16	316.73	28.849	10370.4	7151.291


# Lercier-Sirvent, p=increasing d=10 l=59  (chipmunk 7/2/2010)
#	Factor	EqDiff	RR	Rest	Total	Search
#
5	0.17	10.059	0.029	0.02	13.689	0.01
7	0.21	8.9	0.031	0.01	12.63	0.11
11	0.17	9.09	0.041	0.02	12.86	0.031
19	0.229	8.72	0.09	0.011	12.439	0.26
31	0.27	8.501	0.08	0.02	12.271	0.42
43	0.261	8.96	0.09	0.03	12.841	0.229
67	0.271	8.279	0.09	0.02	11.961	0.13
73	0.27	9.1	0.09	0.03	13.08	0.259
103	0.309	8.99	0.09	0.029	12.979	0.31
131	0.28	8.37	0.101	0.03	12.17	1.001
163	0.32	8.761	0.1	0.02	12.701	0.359
223	0.34	8.44	0.1	0.03	12.27	0.19
283	0.34	8.69	0.11	0.02	12.58	1.02
367	0.369	8.6	0.1	0.029	12.479	0.21


# Lercier-Sirvent, p=increasing d=100 l=127  (chipmunk 7/2/2010)
#	Factor	EqDiff	RR	Rest	Total	Search
#
5	273.671	887.07	72.399	5.05	1641.69	188.12
7	367.839	1104.46	86.62	6.07	2041.61	1362.571
11	462.04	915.07	92.5	6.419	1878.42	1445.17
19	563.06	891.779	98.141	6.63	1962.67	940.021
43	743.751	905.831	106.98	7.06	2155.53	656.479
67	803.22	898.989	102.71	6.831	2201.70	708.999
163	1011.65	1100.16	109.681	7.4	2702.4	921.85
283	1088.62	1086.3	107.201	7.289	2794.06	999.619
