# chipmunk, between 04/2009 and 10/2009
#
#
# Using GF2   (gf2x, bug corrected, full pre-modcomp, 10/2009)
# p=2, d=101
#
l	E[p^k]	F[p^k]	Tree	Interp	ModExp	PreModC	Tries	GCD	ModComp
3	0.01399	0.01099	0.00899	0.02099	0.001	0	5	0	0
5	0.03499	0.03499	0.02399	0.05199	0.00299	0.001	5	0.0002	0
7	0.03399	0.03499	0.01599	0.05199	0.003	0.00099	11	0.00018	0
11	0.10398	0.10298	0.06399	0.12498	0.01299	0.00599	12	0.00025	0.00009
13	0.10098	0.10198	0.04099	0.12598	0.01299	0.00599	14	0.00028	0.00015
17	0.29895	0.29295	0.16297	0.29695	0.05299	0.04299	27	0.00029	0.00069
19	0.29395	0.29395	0.09598	0.29695	0.05299	0.04299	56	0.00051	0.00058
23	0.29295	0.29295	0.09498	0.29695	0.05199	0.04299	25	0.00075	0.00054
29	0.29295	0.29295	0.09498	0.29495	0.05299	0.04299	51	0.00109	0.00053
31	0.29395	0.29295	0.09598	0.29595	0.05199	0.04299	59	0.00118	0.00058
37	0.82887	0.81487	0.40793	0.68989	0.06999	0.15597	128	0.00166	0.00220	# Isogeny not found.
41	0.81787	0.81887	0.21796	0.69089	0.06998	0.15497	31	0.00196	0.00223
43	0.81687	0.81687	0.21896	0.68789	0.06998	0.15497	96	0.00208	0.00226
47	0.81687	0.81887	0.21796	0.68889	0.06998	0.15497	85	0.00236	0.00223
53	0.81887	0.81887	0.21796	0.68789	0.07198	0.15597	1	0.003	0.00223
59	0.81787	0.81787	0.21796	0.68889	0.07098	0.15497	115	0.00330	0.00228
61	0.81787	0.81687	0.21796	0.68989	0.06998	0.15497	128	0.00342	0.00221	# Isogeny not found.
67	2.24166	2.21266	1.00585	1.58176	0.20197	0.91786	190	0.00429	0.00886
71	2.21466	2.21366	0.49692	1.57976	0.20396	0.91686	106	0.00481	0.00884
73	2.20966	2.20766	0.49492	1.57776	0.20496	0.91886	246	0.00508	0.00886
79	2.20567	2.20666	0.49592	1.57576	0.20596	0.92885	256	0.00574	0.00882	# Isogeny not found.
89	2.20566	2.20866	0.49592	1.58376	0.20196	0.91886	120	0.00683	0.00886
101	2.21366	2.21166	0.49492	1.57576	0.20496	0.92785	256	0.00817	0.00885	# Isogeny not found.
103	2.21266	2.21566	0.49592	1.57976	0.20297	0.91686	56	0.00837	0.00885
107	2.21566	2.20767	0.49592	1.57876	0.20496	0.91586	83	0.00870	0.00888
113	2.21066	2.21166	0.49592	1.57576	0.20696	0.91786	90	0.00932	0.00880
127	2.21066	2.20766	0.49492	1.57376	0.20596	0.91386	149	0.01075	0.00907
131	5.8861	5.81712	2.42463	3.58446	0.58491	5.45717	413	0.01236	0.03597
137	5.81212	5.82711	1.11583	3.58345	0.58691	5.49916	182	0.01391	0.03600
139	5.81712	5.81712	1.10983	3.57646	0.58491	5.43417	6	0.01483	0.03599
149	5.81912	5.82412	1.11383	3.58745	0.58391	5.52316	512	0.01628	0.03590	# Isogeny not found.
151	5.83011	5.82311	1.11183	3.58445	0.58791	5.44917	495	0.01672	0.03591
157	5.82211	5.82612	1.11083	3.57746	0.58691	5.43917	379	0.01753	0.03601
163	5.82211	5.82211	1.11383	3.57946	0.58491	5.43517	104	0.01867	0.03588
173	5.82211	5.82412	1.11583	3.57946	0.59890	5.44317	59	0.02026	0.03601
193	5.82811	5.81912	1.11283	3.57946	0.58691	5.45517	274	0.02290	0.03593
197	5.81512	5.82811	1.11583	3.59045	0.58491	5.44817	97	0.02377	0.03596
